scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               , 2145.964ms , 2125.000ms ,    0.000ms , 2143.067ms , 2125.000ms ,    0.000ms , 2124.921ms ,    0.133ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.482ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.893ms ,    0.000ms ,    0.000ms ,    0.000ms , 2100.142ms , 2109.375ms ,    0.000ms ,    0.000ms ,   40.417ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   80.956ms ,   46.875ms ,    0.000ms ,   78.583ms ,   46.875ms ,    0.000ms ,   80.102ms ,    7.996ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.581ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.866ms ,    0.000ms ,    0.000ms ,    0.000ms ,    7.677ms ,    0.000ms ,    0.000ms ,    0.000ms ,   48.463ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   85.455ms ,   93.750ms ,    0.000ms ,   83.165ms ,   93.750ms ,    0.000ms ,   84.620ms ,    7.873ms ,   15.625ms ,    0.000ms ,    0.000ms ,   10.560ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.881ms ,    0.000ms ,    0.000ms ,    0.000ms ,    7.547ms ,    0.000ms ,    0.000ms ,    0.000ms ,   55.304ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,  119.065ms ,  109.375ms ,    0.000ms ,  116.736ms ,  109.375ms ,    0.000ms ,  117.894ms ,   34.762ms ,   46.875ms ,    0.000ms ,    0.000ms ,   41.164ms ,   31.250ms ,    0.000ms ,    0.000ms ,    1.901ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.586ms ,    0.000ms ,    0.000ms ,    0.000ms ,   30.323ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   85.926ms ,   78.125ms ,    0.000ms ,   83.649ms ,   78.125ms ,    0.000ms ,   85.069ms ,    7.869ms ,    0.000ms ,    0.000ms ,    0.000ms ,   11.296ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.898ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.935ms ,   15.625ms ,    0.000ms ,    0.000ms ,   53.651ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   58.770ms ,   62.500ms ,    0.000ms ,   56.460ms ,   62.500ms ,    0.000ms ,   58.200ms ,    5.181ms ,    0.000ms ,    0.000ms ,    0.000ms ,   13.777ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.877ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.906ms ,    0.000ms ,    0.000ms ,    0.000ms ,   30.719ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   92.370ms ,   78.125ms ,    0.000ms ,   90.102ms ,   78.125ms ,    0.000ms ,   91.684ms ,   11.322ms ,   31.250ms ,    0.000ms ,    0.000ms ,   11.210ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.869ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.666ms ,   15.625ms ,    0.000ms ,    0.000ms ,   57.035ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   85.308ms ,   62.500ms ,    0.000ms ,   82.945ms ,   62.500ms ,    0.000ms ,   84.669ms ,    8.663ms ,   15.625ms ,    0.000ms ,    0.000ms ,    8.987ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.898ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.642ms ,   15.625ms ,    0.000ms ,    0.000ms ,   54.755ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   89.865ms ,   62.500ms ,    0.000ms ,   87.522ms ,   62.500ms ,    0.000ms ,   88.796ms ,    9.441ms ,    0.000ms ,    0.000ms ,    0.000ms ,   11.225ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.893ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.766ms ,   15.625ms ,    0.000ms ,    0.000ms ,   56.197ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   91.396ms ,   78.125ms ,    0.000ms ,   89.145ms ,   78.125ms ,    0.000ms ,   90.404ms ,   10.122ms ,   15.625ms ,    0.000ms ,    0.000ms ,   13.601ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.878ms ,   15.625ms ,    0.000ms ,    0.000ms ,    8.702ms ,    0.000ms ,    0.000ms ,    0.000ms ,   54.842ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_10  ,   92.501ms ,   62.500ms ,    0.000ms ,   90.159ms ,   62.500ms ,    0.000ms ,   91.385ms ,   11.169ms ,   46.875ms ,    0.000ms ,    0.000ms ,   16.652ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.957ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.752ms ,    0.000ms ,    0.000ms ,    0.000ms ,   51.629ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_20  ,  111.531ms ,  109.375ms ,    0.000ms ,  109.247ms ,  109.375ms ,    0.000ms ,  110.472ms ,   14.170ms ,    0.000ms ,    0.000ms ,    0.000ms ,   52.958ms ,   46.875ms ,    0.000ms ,    0.000ms ,    1.946ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.745ms ,    0.000ms ,    0.000ms ,    0.000ms ,   31.428ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_6    ,   90.188ms ,   93.750ms ,    0.000ms ,   87.858ms ,   93.750ms ,    0.000ms ,   89.170ms ,    8.775ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.562ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.870ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.742ms ,    0.000ms ,    0.000ms ,    0.000ms ,   59.909ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_8    ,   95.023ms ,   93.750ms ,    0.000ms ,   92.709ms ,   93.750ms ,    0.000ms ,   94.012ms ,    8.761ms ,   15.625ms ,    0.000ms ,    0.000ms ,    8.635ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.884ms ,   31.250ms ,    0.000ms ,    0.000ms ,    8.978ms ,    0.000ms ,    0.000ms ,    0.000ms ,   64.451ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_10   ,  101.326ms ,   31.250ms ,    0.000ms ,   98.958ms ,   31.250ms ,    0.000ms ,  100.199ms ,    8.650ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.643ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.899ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.875ms ,    0.000ms ,    0.000ms ,    0.000ms ,   70.891ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_20   ,  124.794ms ,   46.875ms ,    0.000ms ,  122.507ms ,   31.250ms ,    0.000ms ,  124.101ms ,    8.681ms ,   15.625ms ,    0.000ms ,    0.000ms ,   11.184ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.940ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.003ms ,    0.000ms ,    0.000ms ,    0.000ms ,   91.699ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_4    ,   93.381ms ,   78.125ms ,    0.000ms ,   91.020ms ,   78.125ms ,    0.000ms ,   92.447ms ,    9.451ms ,   31.250ms ,    0.000ms ,    0.000ms ,   10.630ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.896ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.653ms ,    0.000ms ,    0.000ms ,    0.000ms ,   60.390ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_4    ,   97.223ms ,   31.250ms ,    0.000ms ,   94.867ms ,   31.250ms ,    0.000ms ,   96.120ms ,   10.147ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.708ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.901ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.775ms ,   15.625ms ,    0.000ms ,    0.000ms ,   61.336ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_4   ,   99.304ms ,   62.500ms ,    0.000ms ,   97.056ms ,   62.500ms ,    0.000ms ,   98.271ms ,   11.098ms ,   15.625ms ,    0.000ms ,    0.000ms ,   14.910ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.892ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.593ms ,   15.625ms ,    0.000ms ,    0.000ms ,   60.563ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_4   ,   95.470ms ,  109.375ms ,    0.000ms ,   93.050ms ,  109.375ms ,    0.000ms ,   94.420ms ,   15.719ms ,   46.875ms ,    0.000ms ,    0.000ms ,   29.795ms ,   31.250ms ,    0.000ms ,    0.000ms ,    1.970ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.883ms ,   31.250ms ,    0.000ms ,    0.000ms ,   35.683ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_4        ,   62.117ms ,   62.500ms ,    0.000ms ,   59.778ms ,   62.500ms ,    0.000ms ,   61.558ms ,    5.361ms ,    0.000ms ,    0.000ms ,    0.000ms ,   13.918ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.884ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.895ms ,    0.000ms ,    0.000ms ,    0.000ms ,   33.720ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_6        ,   59.259ms ,   46.875ms ,    0.000ms ,   56.932ms ,   46.875ms ,    0.000ms ,   58.688ms ,    5.295ms ,   15.625ms ,    0.000ms ,    0.000ms ,   14.308ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.807ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.876ms ,    0.000ms ,    0.000ms ,    0.000ms ,   30.646ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_8        ,   67.947ms ,   46.875ms ,    0.000ms ,   65.588ms ,   46.875ms ,    0.000ms ,   67.255ms ,    5.397ms ,    0.000ms ,    0.000ms ,    0.000ms ,   21.311ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.840ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.959ms ,   15.625ms ,    0.000ms ,    0.000ms ,   32.081ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_10       ,   71.348ms ,   46.875ms ,    0.000ms ,   69.042ms ,   46.875ms ,    0.000ms ,   70.701ms ,    5.302ms ,    0.000ms ,    0.000ms ,    0.000ms ,   26.274ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.834ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.891ms ,    0.000ms ,    0.000ms ,    0.000ms ,   30.741ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_20       ,   95.309ms ,   31.250ms ,    0.000ms ,   92.998ms ,   31.250ms ,    0.000ms ,   94.323ms ,    5.322ms ,    0.000ms ,    0.000ms ,    0.000ms ,   49.239ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.900ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.026ms ,    0.000ms ,    0.000ms ,    0.000ms ,   31.511ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo_ext_no_sdf       ,   76.206ms ,   62.500ms ,    0.000ms ,   73.879ms ,   62.500ms ,    0.000ms ,   75.375ms ,    5.695ms ,    0.000ms ,    0.000ms ,    0.000ms ,    6.423ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.850ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.739ms ,    0.000ms ,    0.000ms ,    0.000ms ,   51.172ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo_ext_sdf_list     ,  111.195ms ,   31.250ms ,    0.000ms ,  108.873ms ,   31.250ms ,    0.000ms ,  109.924ms ,    8.169ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.077ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.925ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.847ms ,   15.625ms ,    0.000ms ,    0.000ms ,   77.855ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo_ext_one_sdf      ,   95.992ms ,   62.500ms ,    0.000ms ,   93.751ms ,   46.875ms ,    0.000ms ,   95.044ms ,    8.039ms ,    0.000ms ,    0.000ms ,    0.000ms ,   10.721ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.879ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.602ms ,    0.000ms ,    0.000ms ,    0.000ms ,   64.510ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo_ext_one_sdf_pack ,  105.662ms ,   15.625ms ,    0.000ms ,  103.202ms ,   15.625ms ,    0.000ms ,  104.553ms ,    8.005ms ,    0.000ms ,    0.000ms ,    0.000ms ,   11.554ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.903ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.725ms ,    0.000ms ,    0.000ms ,    0.000ms ,   73.015ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , inst_div                  ,   95.567ms ,   93.750ms ,    0.000ms ,   93.287ms ,   93.750ms ,    0.000ms ,   94.566ms ,    8.026ms ,   31.250ms ,    0.000ms ,    0.000ms ,   10.691ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.884ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.827ms ,    0.000ms ,    0.000ms ,    0.000ms ,   63.859ms ,   46.875ms ,    0.000ms ,    0.000ms
mediaplayer     , 1rect_1draw               ,   79.932ms ,   62.500ms ,    0.000ms ,   77.591ms ,   46.875ms ,    0.000ms ,   79.145ms ,    0.127ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.445ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.532ms ,    0.000ms ,    0.000ms ,    0.000ms ,   22.629ms ,    0.000ms ,    0.000ms ,    0.000ms ,   52.858ms ,   46.875ms ,    0.000ms ,    0.000ms
mediaplayer     , simple_vbo                ,   53.958ms ,   31.250ms ,    0.000ms ,   51.686ms ,   15.625ms ,    0.000ms ,   53.429ms ,    0.211ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.460ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.587ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.599ms ,    0.000ms ,    0.000ms ,    0.000ms ,   44.829ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , simple_vbo_stor           ,   55.475ms ,   15.625ms ,    0.000ms ,   53.167ms ,   15.625ms ,    0.000ms ,   54.955ms ,    0.213ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.901ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.615ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.593ms ,   15.625ms ,    0.000ms ,    0.000ms ,   46.845ms ,    0.000ms ,    0.000ms ,    0.000ms
mediaplayer     , complete_vbo              ,   62.378ms ,   15.625ms ,    0.000ms ,   60.108ms ,   15.625ms ,    0.000ms ,   61.784ms ,    0.476ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.395ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.698ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.860ms ,    0.000ms ,    0.000ms ,    0.000ms ,   50.679ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , one_ssbo                  ,   59.763ms ,   46.875ms ,    0.000ms ,   57.446ms ,   31.250ms ,    0.000ms ,   59.145ms ,    0.189ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.185ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.578ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.766ms ,    0.000ms ,    0.000ms ,    0.000ms ,   49.728ms ,   31.250ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_instr_list           ,   62.039ms ,   62.500ms ,    0.000ms ,   59.687ms ,   46.875ms ,    0.000ms ,   61.237ms ,    0.198ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.572ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.674ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.857ms ,   46.875ms ,    0.000ms ,    0.000ms ,   51.386ms ,    0.000ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_6      ,   61.819ms ,   31.250ms ,    0.000ms ,   59.602ms ,   31.250ms ,    0.000ms ,   61.219ms ,    0.243ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.177ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.598ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.801ms ,   31.250ms ,    0.000ms ,    0.000ms ,   51.783ms ,    0.000ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_4_4    ,   61.790ms ,   31.250ms ,    0.000ms ,   59.462ms ,   31.250ms ,    0.000ms ,   61.196ms ,    0.234ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.335ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.623ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.860ms ,    0.000ms ,    0.000ms ,    0.000ms ,   51.410ms ,   31.250ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_6_6    ,   62.651ms ,   15.625ms ,    0.000ms ,   60.388ms ,   15.625ms ,    0.000ms ,   62.051ms ,    0.239ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.293ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.566ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.766ms ,    0.000ms ,    0.000ms ,    0.000ms ,   52.524ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_8_8    ,   64.761ms ,   31.250ms ,    0.000ms ,   62.449ms ,   31.250ms ,    0.000ms ,   64.139ms ,    0.242ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.339ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.689ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.781ms ,   31.250ms ,    0.000ms ,    0.000ms ,   54.398ms ,    0.000ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_10_10  ,   68.542ms ,   15.625ms ,    0.000ms ,   66.252ms ,   15.625ms ,    0.000ms ,   67.852ms ,    0.253ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.619ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.688ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.859ms ,    0.000ms ,    0.000ms ,    0.000ms ,   57.833ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_20_20  ,   86.278ms ,   31.250ms ,    0.000ms ,   83.947ms ,   31.250ms ,    0.000ms ,   85.434ms ,    0.281ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.662ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.660ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.918ms ,    0.000ms ,    0.000ms ,    0.000ms ,   72.426ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_4_6    ,   61.984ms ,   15.625ms ,    0.000ms ,   59.719ms ,   15.625ms ,    0.000ms ,   61.386ms ,    0.230ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.171ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.575ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.786ms ,    0.000ms ,    0.000ms ,    0.000ms ,   51.957ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_4_8    ,   65.824ms ,   15.625ms ,    0.000ms ,   63.466ms ,    0.000ms ,    0.000ms ,   65.163ms ,    0.232ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.193ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.639ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.813ms ,    0.000ms ,    0.000ms ,    0.000ms ,   55.589ms ,    0.000ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_4_10   ,   67.460ms ,   15.625ms ,    0.000ms ,   65.146ms ,   15.625ms ,    0.000ms ,   66.752ms ,    0.228ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.204ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.573ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.847ms ,    0.000ms ,    0.000ms ,    0.000ms ,   57.294ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_4_20   ,   82.616ms ,   46.875ms ,    0.000ms ,   80.337ms ,   46.875ms ,    0.000ms ,   81.793ms ,    0.227ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.214ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.593ms ,   15.625ms ,    0.000ms ,    0.000ms ,    4.805ms ,    0.000ms ,    0.000ms ,    0.000ms ,   72.498ms ,   31.250ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_6_4    ,   62.110ms ,   15.625ms ,    0.000ms ,   59.802ms ,    0.000ms ,    0.000ms ,   61.519ms ,    0.237ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.766ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.581ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.767ms ,    0.000ms ,    0.000ms ,    0.000ms ,   50.451ms ,    0.000ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_8_4    ,   73.252ms ,   46.875ms ,    0.000ms ,   70.954ms ,   31.250ms ,    0.000ms ,   72.637ms ,    0.247ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.223ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.659ms ,   15.625ms ,    0.000ms ,    0.000ms ,    4.884ms ,    0.000ms ,    0.000ms ,    0.000ms ,   61.941ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_10_4   ,   59.091ms ,   15.625ms ,    0.000ms ,   56.746ms ,   15.625ms ,    0.000ms ,   58.485ms ,    0.256ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.643ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.846ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.735ms ,    0.000ms ,    0.000ms ,    0.000ms ,   48.266ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_20_4   ,   62.117ms ,   15.625ms ,    0.000ms ,   59.846ms ,   15.625ms ,    0.000ms ,   61.508ms ,    0.265ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.697ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.887ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.718ms ,    0.000ms ,    0.000ms ,    0.000ms ,   51.279ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_instr_combo_4        ,   60.580ms ,   15.625ms ,    0.000ms ,   58.235ms ,   15.625ms ,    0.000ms ,   60.009ms ,    0.196ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.748ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.613ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.775ms ,   15.625ms ,    0.000ms ,    0.000ms ,   48.903ms ,    0.000ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_instr_combo_6        ,   61.266ms ,   15.625ms ,    0.000ms ,   59.009ms ,   15.625ms ,    0.000ms ,   60.637ms ,    0.199ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.331ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.602ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.766ms ,    0.000ms ,    0.000ms ,    0.000ms ,   51.111ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_instr_combo_8        ,   68.480ms ,   31.250ms ,    0.000ms ,   66.116ms ,   31.250ms ,    0.000ms ,   67.800ms ,    0.205ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.628ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.657ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.051ms ,    0.000ms ,    0.000ms ,    0.000ms ,   57.575ms ,   31.250ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_instr_combo_10       ,   69.315ms ,   78.125ms ,    0.000ms ,   66.997ms ,   78.125ms ,    0.000ms ,   68.678ms ,    0.193ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.482ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.605ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.821ms ,   15.625ms ,    0.000ms ,    0.000ms ,   58.896ms ,   62.500ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_instr_combo_20       ,   82.314ms ,   46.875ms ,    0.000ms ,   80.053ms ,   46.875ms ,    0.000ms ,   81.464ms ,    0.193ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.470ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.634ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.796ms ,    0.000ms ,    0.000ms ,    0.000ms ,   71.960ms ,   46.875ms ,    0.000ms ,    0.000ms
mediaplayer     , one_ssbo_ext_no_sdf       ,   57.612ms ,   46.875ms ,    0.000ms ,   55.304ms ,   46.875ms ,    0.000ms ,   57.026ms ,    0.193ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.304ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.577ms ,   15.625ms ,    0.000ms ,    0.000ms ,    4.777ms ,    0.000ms ,    0.000ms ,    0.000ms ,   47.453ms ,   31.250ms ,    0.000ms ,    0.000ms
mediaplayer     , one_ssbo_ext_sdf_list     ,   76.090ms ,   31.250ms ,    0.000ms ,   73.829ms ,   15.625ms ,    0.000ms ,   75.331ms ,    0.202ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.280ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.612ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.727ms ,    0.000ms ,    0.000ms ,    0.000ms ,   66.008ms ,   15.625ms ,    0.000ms ,    0.000ms
mediaplayer     , one_ssbo_ext_one_sdf      ,   63.990ms ,   46.875ms ,    0.000ms ,   61.570ms ,   46.875ms ,    0.000ms ,   63.394ms ,    0.197ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.345ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.648ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.750ms ,   31.250ms ,    0.000ms ,    0.000ms ,   53.630ms ,   15.625ms ,    0.000ms ,    0.000ms
