scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  475.443ms ,  812.500ms ,  465.325ms ,  196.254ms ,  312.500ms ,  123.764ms ,  471.718ms ,    0.105ms ,    0.000ms ,    0.760ms ,    0.000ms ,    0.116ms ,    0.000ms ,    1.250ms ,    0.179ms ,    0.134ms ,   31.250ms ,   25.636ms ,   22.721ms ,  184.870ms ,  281.250ms ,   62.273ms ,   61.587ms ,   11.029ms ,    0.000ms ,   33.844ms ,   33.557ms
sublime         , simple_vbo                ,   89.034ms ,   93.750ms ,   86.418ms ,    8.844ms ,   31.250ms ,   63.801ms ,   88.226ms ,    2.148ms ,    0.000ms ,    0.221ms ,    0.000ms ,    3.177ms ,    0.000ms ,    0.336ms ,    0.053ms ,    0.176ms ,    0.000ms ,   12.404ms ,   11.044ms ,    0.345ms ,    0.000ms ,   22.924ms ,   22.361ms ,    2.998ms ,   31.250ms ,   27.916ms ,   27.637ms
sublime         , simple_vbo_stor           ,   87.540ms ,  109.375ms ,   87.398ms ,    7.218ms ,    0.000ms ,   64.321ms ,   86.718ms ,    2.125ms ,    0.000ms ,    0.221ms ,    0.000ms ,    2.399ms ,    0.000ms ,    2.303ms ,    1.461ms ,    0.154ms ,    0.000ms ,   12.248ms ,   10.904ms ,    0.266ms ,    0.000ms ,   22.622ms ,   22.076ms ,    2.274ms ,    0.000ms ,   26.928ms ,   26.653ms
sublime         , complete_vbo              ,  123.576ms ,  234.375ms ,  122.865ms ,   19.986ms ,   93.750ms ,   77.886ms ,  122.419ms ,    9.490ms ,   31.250ms ,    0.221ms ,    0.000ms ,    5.225ms ,   62.500ms ,    0.337ms ,    0.052ms ,    0.312ms ,    0.000ms ,   12.479ms ,   11.091ms ,    0.604ms ,    0.000ms ,   37.147ms ,   36.785ms ,    4.355ms ,    0.000ms ,   27.701ms ,   27.418ms
sublime         , one_ssbo                  ,  100.823ms ,  156.250ms ,  100.459ms ,    8.023ms ,   62.500ms ,   79.226ms ,   99.885ms ,    2.353ms ,    0.000ms ,    0.227ms ,    0.000ms ,    2.052ms ,    0.000ms ,    0.347ms ,    0.053ms ,    0.179ms ,    0.000ms ,   12.662ms ,   11.274ms ,    0.567ms ,    0.000ms ,   37.425ms ,   37.059ms ,    2.872ms ,   62.500ms ,   28.565ms ,   28.281ms
sublime         , ssbo_instr_list           ,  101.139ms ,  125.000ms ,  100.657ms ,    5.634ms ,    0.000ms ,   81.858ms ,  100.184ms ,    2.203ms ,    0.000ms ,    0.219ms ,    0.000ms ,    0.883ms ,    0.000ms ,    0.335ms ,    0.052ms ,    0.147ms ,    0.000ms ,   12.029ms ,   10.659ms ,    0.385ms ,    0.000ms ,   42.120ms ,   41.748ms ,    2.016ms ,    0.000ms ,   27.154ms ,   26.871ms
sublime         , ssbo_inlined_instr_6      ,  113.597ms ,  140.625ms ,  113.243ms ,   10.255ms ,   31.250ms ,   88.233ms ,  112.476ms ,    4.479ms ,    0.000ms ,    0.225ms ,    0.000ms ,    2.077ms ,   31.250ms ,    0.345ms ,    0.053ms ,    0.193ms ,    0.000ms ,   12.753ms ,   11.357ms ,    0.565ms ,    0.000ms ,   46.041ms ,   45.675ms ,    2.941ms ,    0.000ms ,   28.868ms ,   28.581ms
sublime         , ssbo_inlined_instr_4_4    ,  109.258ms ,  140.625ms ,  108.864ms ,    8.091ms ,    0.000ms ,   85.898ms ,  108.224ms ,    3.251ms ,    0.000ms ,    0.225ms ,    0.000ms ,    1.486ms ,    0.000ms ,    0.349ms ,    0.054ms ,    0.181ms ,    0.000ms ,   12.747ms ,   11.344ms ,    0.565ms ,    0.000ms ,   44.284ms ,   43.913ms ,    2.608ms ,    0.000ms ,   28.294ms ,   28.012ms
sublime         , ssbo_inlined_instr_6_6    ,  111.653ms ,  156.250ms ,  111.156ms ,    9.141ms ,    0.000ms ,   87.186ms ,  110.592ms ,    3.437ms ,    0.000ms ,    0.225ms ,    0.000ms ,    2.040ms ,    0.000ms ,    0.349ms ,    0.055ms ,    0.195ms ,    0.000ms ,   12.679ms ,   11.298ms ,    0.534ms ,    0.000ms ,   45.435ms ,   45.069ms ,    2.935ms ,    0.000ms ,   28.499ms ,   28.218ms
sublime         , ssbo_inlined_instr_8_8    ,  117.941ms ,  125.000ms ,  117.447ms ,    9.972ms ,   31.250ms ,   91.653ms ,  116.830ms ,    3.480ms ,   31.250ms ,    0.228ms ,    0.000ms ,    2.661ms ,    0.000ms ,    0.348ms ,    0.054ms ,    0.173ms ,    0.000ms ,   12.703ms ,   11.290ms ,    0.516ms ,    0.000ms ,   49.028ms ,   48.662ms ,    3.142ms ,    0.000ms ,   29.347ms ,   29.064ms
sublime         , ssbo_inlined_instr_10_10  ,  122.804ms ,  140.625ms ,  122.536ms ,   11.378ms ,    0.000ms ,   94.810ms ,  121.591ms ,    3.962ms ,    0.000ms ,    0.221ms ,    0.000ms ,    3.435ms ,    0.000ms ,    0.334ms ,    0.052ms ,    0.265ms ,    0.000ms ,   12.602ms ,   11.210ms ,    0.532ms ,    0.000ms ,   52.785ms ,   52.426ms ,    3.184ms ,    0.000ms ,   28.868ms ,   28.589ms
sublime         , ssbo_inlined_instr_20_20  ,  221.857ms ,  281.250ms ,  221.101ms ,   19.528ms ,   31.250ms ,  180.288ms ,  219.583ms ,    5.001ms ,    0.000ms ,    0.219ms ,    0.000ms ,   10.905ms ,   31.250ms ,    0.338ms ,    0.052ms ,    0.225ms ,    0.000ms ,   12.642ms ,   11.286ms ,    0.436ms ,    0.000ms ,  135.202ms ,  134.890ms ,    2.961ms ,    0.000ms ,   31.888ms ,   31.608ms
sublime         , ssbo_inlined_instr_4_6    ,  110.564ms ,  109.375ms ,  110.105ms ,    8.045ms ,    0.000ms ,   87.335ms ,  109.543ms ,    3.272ms ,    0.000ms ,    0.228ms ,    0.000ms ,    1.465ms ,    0.000ms ,    0.346ms ,    0.053ms ,    0.189ms ,    0.000ms ,   12.713ms ,   11.325ms ,    0.597ms ,    0.000ms ,   45.574ms ,   45.208ms ,    2.522ms ,    0.000ms ,   28.473ms ,   28.192ms
sublime         , ssbo_inlined_instr_4_8    ,  112.943ms ,  140.625ms ,  112.524ms ,    8.126ms ,   31.250ms ,   90.146ms ,  111.877ms ,    3.265ms ,   31.250ms ,    0.227ms ,    0.000ms ,    1.514ms ,    0.000ms ,    0.348ms ,    0.055ms ,    0.195ms ,    0.000ms ,   12.587ms ,   11.218ms ,    0.567ms ,    0.000ms ,   48.344ms ,   47.983ms ,    2.585ms ,    0.000ms ,   28.640ms ,   28.359ms
sublime         , ssbo_inlined_instr_4_10   ,  117.112ms ,  109.375ms ,  116.705ms ,    8.195ms ,    0.000ms ,   93.500ms ,  116.000ms ,    3.301ms ,    0.000ms ,    0.223ms ,    0.000ms ,    1.529ms ,    0.000ms ,    0.346ms ,    0.054ms ,    0.182ms ,    0.000ms ,   12.932ms ,   11.476ms ,    0.568ms ,    0.000ms ,   52.589ms ,   52.226ms ,    2.615ms ,    0.000ms ,   27.410ms ,   27.135ms
sublime         , ssbo_inlined_instr_4_20   ,  202.770ms ,  187.500ms ,  202.489ms ,    8.152ms ,    0.000ms ,  179.162ms ,  200.793ms ,    3.240ms ,    0.000ms ,    0.223ms ,    0.000ms ,    1.559ms ,    0.000ms ,    0.336ms ,    0.052ms ,    0.162ms ,    0.000ms ,   12.490ms ,   11.118ms ,    0.566ms ,    0.000ms ,  134.280ms ,  133.963ms ,    2.625ms ,    0.000ms ,   31.833ms ,   31.552ms
sublime         , ssbo_inlined_instr_6_4    ,  111.071ms ,  156.250ms ,  110.661ms ,    9.324ms ,   93.750ms ,   86.365ms ,  109.613ms ,    3.553ms ,    0.000ms ,    0.221ms ,    0.000ms ,    2.100ms ,   62.500ms ,    0.336ms ,    0.052ms ,    0.190ms ,    0.000ms ,   12.701ms ,   11.292ms ,    0.557ms ,    0.000ms ,   44.409ms ,   44.043ms ,    2.924ms ,   31.250ms ,   28.699ms ,   28.413ms
sublime         , ssbo_inlined_instr_8_4    ,  112.929ms ,  140.625ms ,  112.573ms ,   10.626ms ,    0.000ms ,   86.229ms ,  111.706ms ,    3.776ms ,    0.000ms ,    0.226ms ,    0.000ms ,    2.669ms ,    0.000ms ,    0.347ms ,    0.053ms ,    0.232ms ,    0.000ms ,   12.699ms ,   11.313ms ,    0.507ms ,    0.000ms ,   44.367ms ,   44.003ms ,    3.442ms ,    0.000ms ,   28.590ms ,   28.305ms
sublime         , ssbo_inlined_instr_10_4   ,  116.001ms ,  125.000ms ,  115.398ms ,   11.396ms ,   31.250ms ,   87.842ms ,  114.919ms ,    3.963ms ,    0.000ms ,    0.225ms ,    0.000ms ,    3.253ms ,    0.000ms ,    0.347ms ,    0.053ms ,    0.324ms ,    0.000ms ,   12.843ms ,   11.447ms ,    0.544ms ,    0.000ms ,   44.866ms ,   44.498ms ,    3.312ms ,   31.250ms ,   29.561ms ,   29.275ms
sublime         , ssbo_inlined_instr_20_4   ,  128.506ms ,  203.125ms ,  127.819ms ,   20.671ms ,   31.250ms ,   86.576ms ,  127.141ms ,    4.598ms ,   31.250ms ,    0.219ms ,    0.000ms ,   12.400ms ,    0.000ms ,    0.336ms ,    0.052ms ,    0.242ms ,    0.000ms ,   12.668ms ,   11.276ms ,    0.414ms ,    0.000ms ,   45.419ms ,   45.050ms ,    3.017ms ,    0.000ms ,   27.935ms ,   27.653ms
sublime         , ssbo_instr_combo_4        ,  106.714ms ,  125.000ms ,  106.282ms ,    6.154ms ,    0.000ms ,   85.677ms ,  105.675ms ,    2.504ms ,    0.000ms ,    0.225ms ,    0.000ms ,    0.905ms ,    0.000ms ,    0.346ms ,    0.054ms ,    0.237ms ,    0.000ms ,   13.000ms ,   11.555ms ,    0.423ms ,    0.000ms ,   44.224ms ,   43.843ms ,    2.085ms ,    0.000ms ,   27.881ms ,   27.597ms
sublime         , ssbo_instr_combo_6        ,  106.876ms ,  171.875ms ,  106.466ms ,    6.046ms ,   31.250ms ,   86.978ms ,  105.512ms ,    2.443ms ,   31.250ms ,    0.225ms ,    0.000ms ,    0.965ms ,    0.000ms ,    0.348ms ,    0.054ms ,    0.238ms ,    0.000ms ,   12.477ms ,   11.100ms ,    0.385ms ,    0.000ms ,   45.033ms ,   44.663ms ,    2.015ms ,    0.000ms ,   28.895ms ,   28.612ms
sublime         , ssbo_instr_combo_8        ,  148.002ms ,  125.000ms ,  147.604ms ,    6.788ms ,    0.000ms ,  102.270ms ,  146.710ms ,    2.893ms ,    0.000ms ,    0.236ms ,    0.000ms ,    1.069ms ,    0.000ms ,    0.362ms ,    0.057ms ,    0.172ms ,    0.000ms ,   15.324ms ,   13.618ms ,    0.492ms ,    0.000ms ,   52.963ms ,   52.557ms ,    2.162ms ,    0.000ms ,   33.385ms ,   33.095ms
sublime         , ssbo_instr_combo_10       ,  113.095ms ,  125.000ms ,  112.283ms ,    5.822ms ,   31.250ms ,   94.131ms ,  111.668ms ,    2.344ms ,   31.250ms ,    0.224ms ,    0.000ms ,    0.896ms ,    0.000ms ,    0.347ms ,    0.054ms ,    0.163ms ,    0.000ms ,   12.268ms ,   10.901ms ,    0.378ms ,    0.000ms ,   52.444ms ,   52.075ms ,    2.041ms ,    0.000ms ,   28.849ms ,   28.569ms
sublime         , ssbo_instr_combo_20       ,  200.718ms ,  171.875ms ,  200.225ms ,    6.150ms ,    0.000ms ,  179.718ms ,  198.790ms ,    2.406ms ,    0.000ms ,    0.225ms ,    0.000ms ,    0.882ms ,    0.000ms ,    0.346ms ,    0.053ms ,    0.180ms ,    0.000ms ,   12.698ms ,   11.293ms ,    0.448ms ,    0.000ms ,  135.487ms ,  135.156ms ,    2.234ms ,    0.000ms ,   30.961ms ,   30.683ms
sublime         , one_ssbo_ext_no_sdf       ,   95.530ms ,  109.375ms ,   95.093ms ,    6.448ms ,    0.000ms ,   75.154ms ,   94.638ms ,    2.493ms ,    0.000ms ,    0.228ms ,    0.000ms ,    0.994ms ,    0.000ms ,    0.348ms ,    0.053ms ,    0.191ms ,    0.000ms ,   12.520ms ,   11.152ms ,    0.564ms ,    0.000ms ,   34.447ms ,   34.074ms ,    2.206ms ,    0.000ms ,   27.611ms ,   27.328ms
sublime         , one_ssbo_ext_sdf_list     ,  116.276ms ,  156.250ms ,  115.972ms ,    9.136ms ,   31.250ms ,   91.895ms ,  115.114ms ,    3.392ms ,   31.250ms ,    0.219ms ,    0.000ms ,    2.029ms ,    0.000ms ,    0.334ms ,    0.052ms ,    0.197ms ,    0.000ms ,   12.500ms ,   11.149ms ,    0.570ms ,    0.000ms ,   50.016ms ,   49.687ms ,    2.948ms ,    0.000ms ,   28.826ms ,   28.548ms
sublime         , one_ssbo_ext_one_sdf      ,  144.922ms ,  171.875ms ,  144.723ms ,    9.874ms ,   31.250ms ,   93.341ms ,  143.820ms ,    3.497ms ,   31.250ms ,    0.237ms ,    0.000ms ,    2.580ms ,    0.000ms ,    0.364ms ,    0.056ms ,    0.206ms ,    0.000ms ,   15.807ms ,   14.030ms ,    0.652ms ,    0.000ms ,   43.003ms ,   42.606ms ,    2.939ms ,    0.000ms ,   33.929ms ,   33.637ms
sublime         , one_ssbo_ext_one_sdf_pack ,  112.417ms ,  109.375ms ,  111.972ms ,    9.065ms ,    0.000ms ,   87.842ms ,  111.404ms ,    3.167ms ,    0.000ms ,    0.228ms ,    0.000ms ,    2.248ms ,    0.000ms ,    0.348ms ,    0.054ms ,    0.180ms ,    0.000ms ,   13.307ms ,   11.859ms ,    0.553ms ,    0.000ms ,   45.055ms ,   44.693ms ,    2.917ms ,    0.000ms ,   28.904ms ,   28.624ms
sublime         , inst_div                  ,  104.324ms ,  125.000ms ,  103.896ms ,    8.607ms ,    0.000ms ,   80.363ms ,  103.346ms ,    3.047ms ,    0.000ms ,    0.229ms ,    0.000ms ,    2.076ms ,    0.000ms ,    0.347ms ,    0.053ms ,    0.159ms ,    0.000ms ,   12.644ms ,   11.266ms ,    0.444ms ,    0.000ms ,   39.221ms ,   38.869ms ,    2.881ms ,    0.000ms ,   27.922ms ,   27.645ms
mediaplayer     , 1rect_1draw               ,   97.434ms ,  171.875ms ,   97.336ms ,    4.452ms ,    0.000ms ,   78.325ms ,   96.511ms ,    0.096ms ,    0.000ms ,    0.219ms ,    0.000ms ,    0.087ms ,    0.000ms ,    0.334ms ,    0.052ms ,    0.112ms ,    0.000ms ,   11.682ms ,   10.341ms ,    2.149ms ,    0.000ms ,   37.782ms ,   37.424ms ,    2.008ms ,    0.000ms ,   28.309ms ,   28.024ms
mediaplayer     , simple_vbo                ,   66.413ms ,   78.125ms ,   66.319ms ,    2.572ms ,    0.000ms ,   51.478ms ,   65.793ms ,    0.123ms ,    0.000ms ,    0.220ms ,    0.000ms ,    0.163ms ,    0.000ms ,    0.336ms ,    0.053ms ,    0.117ms ,    0.000ms ,   12.170ms ,   10.521ms ,    0.216ms ,    0.000ms ,   11.944ms ,   10.424ms ,    1.953ms ,    0.000ms ,   26.809ms ,   26.522ms
mediaplayer     , simple_vbo_stor           ,   67.550ms ,   62.500ms ,   67.481ms ,    3.112ms ,    0.000ms ,   51.947ms ,   66.931ms ,    0.123ms ,    0.000ms ,    0.221ms ,    0.000ms ,    0.194ms ,    0.000ms ,    0.337ms ,    0.053ms ,    0.115ms ,    0.000ms ,   12.363ms ,   10.618ms ,    0.237ms ,    0.000ms ,   12.211ms ,   10.597ms ,    2.443ms ,    0.000ms ,   26.815ms ,   26.528ms
mediaplayer     , complete_vbo              ,   81.079ms ,   78.125ms ,   80.995ms ,    2.591ms ,    0.000ms ,   67.808ms ,   80.304ms ,    0.173ms ,    0.000ms ,    0.223ms ,    0.000ms ,    0.227ms ,    0.000ms ,    0.336ms ,    0.052ms ,    0.110ms ,    0.000ms ,   12.341ms ,   10.512ms ,    0.250ms ,    0.000ms ,   27.320ms ,   26.979ms ,    1.831ms ,    0.000ms ,   27.587ms ,   27.312ms
mediaplayer     , one_ssbo                  ,  106.407ms ,   93.750ms ,  106.318ms ,    2.748ms ,    0.000ms ,   91.710ms ,  105.425ms ,    0.127ms ,    0.000ms ,    0.228ms ,    0.000ms ,    0.160ms ,    0.000ms ,    0.348ms ,    0.054ms ,    0.117ms ,    0.000ms ,   12.805ms ,   11.042ms ,    0.321ms ,    0.000ms ,   28.035ms ,   27.695ms ,    2.023ms ,    0.000ms ,   50.295ms ,   50.012ms
mediaplayer     , ssbo_instr_list           ,  105.836ms ,  125.000ms ,  105.779ms ,    2.848ms ,    0.000ms ,   90.826ms ,  104.810ms ,    0.141ms ,    0.000ms ,    0.225ms ,    0.000ms ,    0.177ms ,    0.000ms ,    0.339ms ,    0.053ms ,    0.106ms ,    0.000ms ,   15.824ms ,   13.679ms ,    0.367ms ,    0.000ms ,   39.510ms ,   39.171ms ,    2.057ms ,    0.000ms ,   34.928ms ,   34.646ms
mediaplayer     , ssbo_inlined_instr_6      ,   94.902ms ,  125.000ms ,   94.831ms ,    2.797ms ,    0.000ms ,   80.493ms ,   93.999ms ,    0.153ms ,    0.000ms ,    0.223ms ,    0.000ms ,    0.164ms ,    0.000ms ,    0.339ms ,    0.054ms ,    0.112ms ,    0.000ms ,   13.517ms ,   11.647ms ,    0.313ms ,    0.000ms ,   37.559ms ,   37.237ms ,    2.055ms ,    0.000ms ,   28.855ms ,   28.575ms
mediaplayer     , ssbo_inlined_instr_4_4    ,   91.222ms ,  125.000ms ,   91.155ms ,    2.865ms ,    0.000ms ,   75.675ms ,   90.344ms ,    0.143ms ,    0.000ms ,    0.221ms ,    0.000ms ,    0.168ms ,    0.000ms ,    0.338ms ,    0.053ms ,    0.112ms ,    0.000ms ,   12.427ms ,   10.874ms ,    0.342ms ,    0.000ms ,   34.625ms ,   34.311ms ,    2.100ms ,    0.000ms ,   28.065ms ,   27.790ms
mediaplayer     , ssbo_inlined_instr_6_6    ,   93.438ms ,  109.375ms ,   93.398ms ,    3.043ms ,    0.000ms ,   77.578ms ,   92.235ms ,    0.147ms ,    0.000ms ,    0.219ms ,    0.000ms ,    0.164ms ,    0.000ms ,    0.335ms ,    0.052ms ,    0.130ms ,    0.000ms ,   12.408ms ,   10.828ms ,    0.340ms ,    0.000ms ,   36.923ms ,   36.611ms ,    2.262ms ,    0.000ms ,   27.692ms ,   27.418ms
mediaplayer     , ssbo_inlined_instr_8_8    ,   95.770ms ,  109.375ms ,   95.671ms ,    2.805ms ,    0.000ms ,   80.671ms ,   94.861ms ,    0.153ms ,    0.000ms ,    0.223ms ,    0.000ms ,    0.171ms ,    0.000ms ,    0.335ms ,    0.052ms ,    0.107ms ,    0.000ms ,   12.716ms ,   11.116ms ,    0.332ms ,    0.000ms ,   39.183ms ,   38.875ms ,    2.042ms ,    0.000ms ,   28.215ms ,   27.938ms
mediaplayer     , ssbo_inlined_instr_10_10  ,   99.037ms ,  140.625ms ,   98.881ms ,    2.954ms ,   31.250ms ,   82.944ms ,   98.096ms ,    0.156ms ,    0.000ms ,    0.222ms ,    0.000ms ,    0.173ms ,    0.000ms ,    0.334ms ,    0.053ms ,    0.117ms ,    0.000ms ,   12.917ms ,   11.302ms ,    0.332ms ,    0.000ms ,   41.507ms ,   41.196ms ,    2.176ms ,   31.250ms ,   27.963ms ,   27.687ms
mediaplayer     , ssbo_inlined_instr_20_20  ,  182.853ms ,  140.625ms ,  182.791ms ,    2.796ms ,    0.000ms ,  166.233ms ,  181.104ms ,    0.177ms ,    0.000ms ,    0.220ms ,    0.000ms ,    0.207ms ,    0.000ms ,    0.337ms ,    0.052ms ,    0.110ms ,    0.000ms ,   12.440ms ,   11.097ms ,    0.331ms ,    0.000ms ,  121.805ms ,  121.508ms ,    1.971ms ,    0.000ms ,   31.430ms ,   31.152ms
mediaplayer     , ssbo_inlined_instr_4_6    ,   77.687ms ,  109.375ms ,   77.627ms ,    5.218ms ,   31.250ms ,   57.746ms ,   77.054ms ,    0.207ms ,    0.000ms ,    0.218ms ,    0.000ms ,    0.197ms ,    0.000ms ,    0.338ms ,    0.054ms ,    0.110ms ,    0.000ms ,   12.830ms ,   11.039ms ,    0.326ms ,    0.000ms ,   37.646ms ,   37.325ms ,    4.378ms ,   31.250ms ,    6.714ms ,    6.440ms
mediaplayer     , ssbo_inlined_instr_4_8    ,   66.661ms ,  109.375ms ,   66.577ms ,    2.583ms ,    0.000ms ,   53.669ms ,   66.005ms ,    0.141ms ,    0.000ms ,    0.221ms ,    0.000ms ,    0.148ms ,    0.000ms ,    0.336ms ,    0.053ms ,    0.102ms ,    0.000ms ,   12.542ms ,   10.716ms ,    0.284ms ,    0.000ms ,   39.195ms ,   38.886ms ,    1.908ms ,    0.000ms ,    1.375ms ,    1.103ms
mediaplayer     , ssbo_inlined_instr_4_10   ,   68.878ms ,   62.500ms ,   68.827ms ,    2.574ms ,    0.000ms ,   55.798ms ,   68.164ms ,    0.126ms ,    0.000ms ,    0.219ms ,    0.000ms ,    0.153ms ,    0.000ms ,    0.333ms ,    0.052ms ,    0.103ms ,    0.000ms ,   12.455ms ,   10.690ms ,    0.296ms ,    0.000ms ,   41.506ms ,   41.198ms ,    1.896ms ,    0.000ms ,    1.284ms ,    1.013ms
mediaplayer     , ssbo_inlined_instr_4_20   ,  151.256ms ,  171.875ms ,  151.189ms ,    2.737ms ,    0.000ms ,  135.744ms ,  149.739ms ,    0.171ms ,    0.000ms ,    0.219ms ,    0.000ms ,    0.173ms ,    0.000ms ,    0.334ms ,    0.052ms ,    0.106ms ,    0.000ms ,   12.089ms ,   10.666ms ,    0.325ms ,    0.000ms ,  121.820ms ,  121.523ms ,    1.962ms ,    0.000ms ,    1.282ms ,    1.013ms
mediaplayer     , ssbo_inlined_instr_6_4    ,   62.982ms ,   78.125ms ,   62.914ms ,    2.828ms ,    0.000ms ,   48.702ms ,   62.344ms ,    0.140ms ,    0.000ms ,    0.221ms ,    0.000ms ,    0.173ms ,    0.000ms ,    0.339ms ,    0.054ms ,    0.108ms ,    0.000ms ,   12.260ms ,   10.623ms ,    0.330ms ,    0.000ms ,   34.599ms ,   34.287ms ,    2.077ms ,    0.000ms ,    1.283ms ,    1.012ms
mediaplayer     , ssbo_inlined_instr_8_4    ,   62.819ms ,   78.125ms ,   62.751ms ,    2.766ms ,   31.250ms ,   48.894ms ,   62.175ms ,    0.150ms ,    0.000ms ,    0.220ms ,    0.000ms ,    0.180ms ,    0.000ms ,    0.336ms ,    0.053ms ,    0.107ms ,    0.000ms ,   12.445ms ,   10.772ms ,    0.321ms ,    0.000ms ,   34.607ms ,   34.295ms ,    2.008ms ,   31.250ms ,    1.287ms ,    1.017ms
mediaplayer     , ssbo_inlined_instr_10_4   ,   62.694ms ,   78.125ms ,   62.608ms ,    2.702ms ,    0.000ms ,   48.707ms ,   62.085ms ,    0.137ms ,    0.000ms ,    0.218ms ,    0.000ms ,    0.174ms ,    0.000ms ,    0.334ms ,    0.052ms ,    0.101ms ,    0.000ms ,   12.256ms ,   10.608ms ,    0.307ms ,    0.000ms ,   34.617ms ,   34.306ms ,    1.983ms ,    0.000ms ,    1.281ms ,    1.011ms
mediaplayer     , ssbo_inlined_instr_20_4   ,   62.688ms ,   78.125ms ,   62.629ms ,    2.748ms ,    0.000ms ,   48.798ms ,   62.044ms ,    0.147ms ,    0.000ms ,    0.222ms ,    0.000ms ,    0.185ms ,    0.000ms ,    0.336ms ,    0.053ms ,    0.114ms ,    0.000ms ,   12.359ms ,   10.707ms ,    0.304ms ,    0.000ms ,   34.594ms ,   34.283ms ,    1.998ms ,    0.000ms ,    1.287ms ,    1.017ms
mediaplayer     , ssbo_instr_combo_4        ,   62.938ms ,   78.125ms ,   62.889ms ,    2.559ms ,    0.000ms ,   48.727ms ,   62.316ms ,    0.122ms ,    0.000ms ,    0.218ms ,    0.000ms ,    0.155ms ,    0.000ms ,    0.336ms ,    0.054ms ,    0.102ms ,    0.000ms ,   12.176ms ,   10.514ms ,    0.310ms ,    0.000ms ,   34.713ms ,   34.403ms ,    1.870ms ,    0.000ms ,    1.283ms ,    1.012ms
mediaplayer     , ssbo_instr_combo_6        ,   66.136ms ,   78.125ms ,   66.041ms ,    2.699ms ,    0.000ms ,   51.212ms ,   65.501ms ,    0.125ms ,    0.000ms ,    0.220ms ,    0.000ms ,    0.152ms ,    0.000ms ,    0.336ms ,    0.052ms ,    0.107ms ,    0.000ms ,   12.377ms ,   10.714ms ,    0.319ms ,    0.000ms ,   36.990ms ,   36.682ms ,    1.996ms ,    0.000ms ,    1.288ms ,    1.016ms
mediaplayer     , ssbo_instr_combo_8        ,   67.309ms ,  109.375ms ,   67.250ms ,    2.719ms ,   31.250ms ,   53.651ms ,   66.635ms ,    0.125ms ,    0.000ms ,    0.220ms ,    0.000ms ,    0.165ms ,    0.000ms ,    0.335ms ,    0.052ms ,    0.114ms ,    0.000ms ,   12.460ms ,   10.735ms ,    0.325ms ,    0.000ms ,   39.352ms ,   39.042ms ,    1.990ms ,   31.250ms ,    1.283ms ,    1.011ms
mediaplayer     , ssbo_instr_combo_10       ,   69.980ms ,   78.125ms ,   69.905ms ,    2.768ms ,    0.000ms ,   55.864ms ,   69.297ms ,    0.123ms ,    0.000ms ,    0.221ms ,    0.000ms ,    0.159ms ,    0.000ms ,    0.335ms ,    0.053ms ,    0.114ms ,    0.000ms ,   12.337ms ,   10.686ms ,    0.335ms ,    0.000ms ,   41.686ms ,   41.376ms ,    2.037ms ,    0.000ms ,    1.285ms ,    1.015ms
mediaplayer     , ssbo_instr_combo_20       ,  152.415ms ,  203.125ms ,  152.343ms ,    2.919ms ,   31.250ms ,  136.358ms ,  150.912ms ,    0.147ms ,    0.000ms ,    0.219ms ,    0.000ms ,    0.179ms ,    0.000ms ,    0.334ms ,    0.052ms ,    0.116ms ,    0.000ms ,   12.196ms ,   10.802ms ,    0.341ms ,    0.000ms ,  122.028ms ,  121.732ms ,    2.136ms ,   31.250ms ,    1.580ms ,    1.309ms
mediaplayer     , one_ssbo_ext_no_sdf       ,   55.269ms ,   78.125ms ,   55.175ms ,    2.826ms ,    0.000ms ,   41.238ms ,   54.743ms ,    0.121ms ,    0.000ms ,    0.221ms ,    0.000ms ,    0.153ms ,    0.000ms ,    0.335ms ,    0.052ms ,    0.107ms ,    0.000ms ,   12.083ms ,   10.422ms ,    0.312ms ,    0.000ms ,   27.308ms ,   26.969ms ,    2.133ms ,    0.000ms ,    1.291ms ,    1.018ms
mediaplayer     , one_ssbo_ext_sdf_list     ,   76.999ms ,   78.125ms ,   76.927ms ,    2.771ms ,    0.000ms ,   62.848ms ,   76.241ms ,    0.126ms ,    0.000ms ,    0.221ms ,    0.000ms ,    0.163ms ,    0.000ms ,    0.335ms ,    0.052ms ,    0.108ms ,    0.000ms ,   12.437ms ,   10.775ms ,    0.319ms ,    0.000ms ,   48.572ms ,   48.270ms ,    2.055ms ,    0.000ms ,    1.283ms ,    1.012ms
mediaplayer     , one_ssbo_ext_one_sdf      ,   59.750ms ,   78.125ms ,   59.683ms ,    2.749ms ,    0.000ms ,   45.925ms ,   59.141ms ,    0.121ms ,    0.000ms ,    0.221ms ,    0.000ms ,    0.192ms ,    0.000ms ,    0.336ms ,    0.053ms ,    0.114ms ,    0.000ms ,   12.559ms ,   10.824ms ,    0.326ms ,    0.000ms ,   31.518ms ,   31.204ms ,    1.996ms ,    0.000ms ,    1.291ms ,    1.018ms
